Package,Name,Version,Architecture
com.wkk.stella,Stella❄️,1.1.5,iphoneos-arm64e
com.wkk.stormsnifferhook,StormSnifferHook,1.0-1,iphoneos-arm64e
com.wkk.swipeextenderx,SwipeExtenderX,1.6.2,iphoneos-arm64e
com.wkk.tapticboard,TapticBoard,1.2,iphoneos-arm64e
com.wkk.tiebahook,百度贴吧NoAds,1.0-5,iphoneos-arm64e
com.wkk.tinge,Tinge,1.2.2,iphoneos-arm64e
com.wkk.tinticonlabel,TintIconLabel,1.0.5,iphoneos-arm64e
com.wkk.tpphook,淘票票NoAds,1.0,iphoneos-arm64e
com.wkk.tvlock,TVLock,1.2.3,iphoneos-arm64e
com.wkk.txsphook,腾讯视频NoAds,1.0,iphoneos-arm64e
com.wkk.txtyhook,腾讯体育NoAds,1.0-1,iphoneos-arm64e
com.wkk.WCEhance,微信增强,2.0-1,iphoneos-arm64e
com.wkk.wctimelinereplacefind,WCTimeLineReplaceFind,1.1-2,iphoneos-arm64e
com.wkk.wdhook,微店NoAds,1.0-1,iphoneos-arm64e
com.wkk.WeChatbeautifully,WeChat自用气泡,1.0,iphoneos-arm64e
com.wkk.weibohook,微博NoAds,1.0,iphoneos-arm64e
com.wkk.wfhook,威锋NoAds,1.0,iphoneos-arm64e
com.wkk.whereplays,WherePlay,0.0.2,iphoneos-arm64e
com.wkk.wtvrbglauncher,语音转文字免跳转,1.2,iphoneos-arm64e
com.wkk.wyxwhook,网易新闻NoAds,1.0-2,iphoneos-arm64e
com.wkk.wyyad2hook,网易云Music免费听,1.0-1,iphoneos-arm64e
com.wkk.wyyadhook,网易云Music免费听,1.0-4,iphoneos-arm64e
com.wkk.wyyhook,网易云音乐NoAds,1.0,iphoneos-arm64e
com.wkk.wyyhook2,网易云音乐NoAds定制款,1.0-3,iphoneos-arm64e
com.wkk.wyyxhook,网易邮箱NoAds,1.0,iphoneos-arm64e
com.wkk.xcfhook,下厨房NoAds,1.0-1,iphoneos-arm64e
com.wkk.xchshhook,小蚕惠生活NoAds,1.1,iphoneos-arm64e
com.wkk.xianyuhook,闲鱼NoAds,1.1,iphoneos-arm64e
com.wkk.xjcdhook,小桔充电hook,1.0-1,iphoneos-arm64e
com.wkk.xxautoskip,模拟点击去开屏广告（下载后TrollFools注入）,1.0.4,iphoneos-arm64e
com.wkk.xxgif,蜡笔小新GIF,1.0,iphoneos-arm64e
com.wkk.xxicons,蜡笔小新图标,1.0,iphoneos-arm64e
com.wkk.xxmusic,精选提醒声百款,1.0,iphoneos-arm64e
com.wkk.xyjlbhook,心悦俱乐部NoAdas,1.0,iphoneos-arm64e
com.wkk.ykhook,优酷NoAds,1.0-1,iphoneos-arm64e
com.wkk.ykxchook,一刻相册NoAds,1.0-4,iphoneos-arm64e
com.wkk.ysxwhook,央视新闻NoAds,1.0,iphoneos-arm64e
com.wkk.ysyhook,萤石云视频NoAds,1.0-1,iphoneos-arm64e
com.wkk.zdmhook,什么值得买NoAds,1.0,iphoneos-arm64e
com.wkk.zeppelinreborn,Zeppelin Reborn,1.4.2,iphoneos-arm64e
com.wkk.zetsu,Zetsu,1.5,iphoneos-arm64e
com.wkk.zgdxhook,中国电信NoAds,1.0,iphoneos-arm64e
com.wkk.zhihuhook,知乎NoAds,1.0,iphoneos-arm64e
com.wkk.zslmhook,掌上英雄联盟NoAds,1.0,iphoneos-arm64e
com.wkk.zzhook,转转NoAds,1.0,iphoneos-arm64e
com.xx.xhshook,小红薯,1.1.6-3,iphoneos-arm64e
com.zqbb.savephotos,Hello Snapper,1.1,iphoneos-arm64e
com.zqbb.Snapper3,Snapper3扩展,1.0-1,iphoneos-arm64e
con.wkk.april,April,3.1,iphoneos-arm64e
cum.wkk.hidevpn,HideVPN,1.1,iphoneos-arm64e
flex3beta.roothide,Flex3 Beta,3.1-roothide,iphoneos-arm64e
jp.soh.freepip,FreePIP,0.0.3-1,iphoneos-arm64
kr.xsf1re.vnodebypass,Vnodebypass,0.4.3,iphoneos-arm64
MisakaHelper,MisakaHelper,2.1-1-end,iphoneos-arm64
netskao.wcpureextension-rootless,微信净化红包版,4.2-6,iphoneos-arm64e
netskao.wechatpurification,微信净化END,4.2-6-END,iphoneos-arm64e
preferenceloader.top,PreferenceLoader (Top),2.2.7,iphoneos-arm64e
ru.domo.cocoatop64,CocoaTop64,2.2.4-1,iphoneos-arm64e
uncar,uncar,0.0.1-6,iphoneos-arm64e
Wen.cpu.RlPNDlP,虚拟内存优化,2.0,iphoneos-arm64e
ws.hbang.newterm3,NewTerm 3 Beta,3.0~beta1-1042+debug,iphoneos-arm64e
